timestamp,open,high,low,close,volume,delta,cvd_open,cvd_high,cvd_low,cvd_close,ha_open,ha_high,ha_low,ha_close,ha_cvd_open,ha_cvd_high,ha_cvd_low,ha_cvd_close
2025-07-14 13:30:00+00:00,6294.25,6296.5,6291.25,6292.0,10422,-1212,-23,856,-1214,-1212,6293.5,6293.125,6296.5,6291.25,-398.25,-617.5,856.0,-1214.0
2025-07-14 13:31:00+00:00,6292.0,6296.0,6290.25,6291.25,7610,-108,-1210,-269,-1348,-1320,6292.375,6293.3125,6296.0,6290.25,-1036.75,-507.875,-269.0,-1348.0
2025-07-14 13:32:00+00:00,6291.25,6293.0,6290.25,6292.5,3015,199,-1322,-1070,-1337,-1121,6291.75,6292.84375,6293.0,6290.25,-1212.5,-772.3125,-772.3125,-1337.0
2025-07-14 13:33:00+00:00,6293.0,6295.5,6292.75,6293.5,3098,72,-1118,-808,-1118,-1049,6293.6875,6292.296875,6295.5,6292.296875,-1023.25,-992.40625,-808.0,-1118.0
2025-07-14 13:34:00+00:00,6293.5,6293.75,6289.25,6290.0,3089,-931,-1032,-1010,-1998,-1980,6291.625,6292.9921875,6293.75,6289.25,-1505.0,-1007.828125,-1007.828125,-1998.0
2025-07-14 13:35:00+00:00,6290.25,6291.25,6287.5,6291.25,4492,-290,-1973,-1943,-2717,-2270,6290.0625,6292.30859375,6292.30859375,6287.5,-2225.75,-1256.4140625,-1256.4140625,-2717.0
2025-07-14 13:36:00+00:00,6291.25,6294.5,6290.5,6293.75,3529,717,-2269,-1518,-2341,-1553,6292.5,6291.185546875,6294.5,6290.5,-1920.25,-1741.08203125,-1518.0,-2341.0
2025-07-14 13:37:00+00:00,6293.75,6294.0,6291.75,6292.0,2515,-15,-1547,-1410,-1625,-1568,6292.875,6291.8427734375,6294.0,6291.75,-1537.5,-1830.666015625,-1410.0,-1830.666015625
2025-07-14 13:38:00+00:00,6292.0,6292.75,6291.0,6291.75,2113,-251,-1570,-1561,-1845,-1819,6291.875,6292.35888671875,6292.75,6291.0,-1698.75,-1684.0830078125,-1561.0,-1845.0
2025-07-14 13:39:00+00:00,6291.75,6293.0,6290.0,6292.75,2216,-226,-1822,-1813,-2185,-2045,6291.875,6292.116943359375,6293.0,6290.0,-1966.25,-1691.41650390625,-1691.41650390625,-2185.0
2025-07-14 13:40:00+00:00,6292.75,6293.75,6289.75,6290.5,2136,-246,-2047,-1897,-2329,-2291,6291.6875,6291.9959716796875,6293.75,6289.75,-2141.0,-1828.833251953125,-1828.833251953125,-2329.0
2025-07-14 13:41:00+00:00,6290.25,6291.0,6288.75,6289.5,2441,-125,-2292,-2192,-2514,-2416,6289.875,6291.841735839844,6291.841735839844,6288.75,-2353.5,-1984.9166259765625,-1984.9166259765625,-2514.0
2025-07-14 13:42:00+00:00,6289.5,6289.75,6283.5,6284.0,5770,-1740,-2415,-2399,-4239,-4156,6286.6875,6290.858367919922,6290.858367919922,6283.5,-3302.25,-2169.2083129882812,-2169.2083129882812,-4239.0
2025-07-14 13:43:00+00:00,6283.75,6283.75,6280.25,6283.75,8544,232,-4160,-3919,-4729,-3924,6282.875,6288.772933959961,6288.772933959961,6280.25,-4183.0,-2735.7291564941406,-2735.7291564941406,-4729.0
2025-07-14 13:44:00+00:00,6283.5,6285.25,6281.5,6281.75,4058,-62,-3940,-3514,-4006,-3986,6283.0,6285.8239669799805,6285.8239669799805,6281.5,-3861.5,-3459.3645782470703,-3459.3645782470703,-4006.0
2025-07-14 13:45:00+00:00,6281.75,6286.0,6280.25,6285.25,6108,-40,-3983,-3974,-4695,-4026,6283.3125,6284.41198348999,6286.0,6280.25,-4169.5,-3660.432289123535,-3660.432289123535,-4695.0
2025-07-14 13:46:00+00:00,6285.5,6285.75,6282.75,6285.0,2921,-255,-4016,-4016,-4385,-4281,6284.75,6283.862241744995,6285.75,6282.75,-4174.5,-3914.9661445617676,-3914.9661445617676,-4385.0
2025-07-14 13:47:00+00:00,6284.75,6288.75,6283.75,6288.5,4236,806,-4275,-3339,-4393,-3475,6286.4375,6284.306120872498,6288.75,6283.75,-3870.5,-4044.733072280884,-3339.0,-4393.0
2025-07-14 13:48:00+00:00,6288.25,6292.75,6288.0,6292.5,4839,853,-3477,-2527,-3499,-2622,6290.375,6285.371810436249,6292.75,6285.371810436249,-3031.25,-3957.616536140442,-2527.0,-3957.616536140442
