timestamp,ha_open,ha_high,ha_low,ha_close,volume,delta,ha_cvd_open,ha_cvd_high,ha_cvd_low,ha_cvd_close,ha_ema_8,ha_ema_9,ha_ema_13,ha_ema_21,ha_ema_22,ha_ema_50,ha_ema_100,ha_ema_200,ha_cvd_ema_8,ha_cvd_ema_9,ha_cvd_ema_13,ha_cvd_ema_21,ha_cvd_ema_22,ha_cvd_ema_50,ha_cvd_ema_100,ha_cvd_ema_200
2025-07-14 13:30:00+00:00,6293.5,6293.125,6296.5,6291.25,10422,-1212,-398.25,-617.5,856.0,-1214.0,6291.25,6291.25,6291.25,6291.25,6291.25,6291.25,6291.25,6291.25,-1214.0,-1214.0,-1214.0,-1214.0,-1214.0,-1214.0,-1214.0,-1214.0
2025-07-14 13:31:00+00:00,6292.375,6293.3125,6296.0,6290.25,7610,-108,-1036.75,-507.875,-269.0,-1348.0,6291.027777777777,6291.05,6291.107142857143,6291.159090909091,6291.163043478261,6291.2107843137255,6291.230198019802,6291.240049751244,-1243.7777777777778,-1240.8000000000002,-1233.142857142857,-1226.1818181818182,-1225.6521739130435,-1219.2549019607843,-1216.6534653465346,-1215.3333333333335
2025-07-14 13:32:00+00:00,6291.75,6292.84375,6293.0,6290.25,3015,199,-1212.5,-772.3125,-772.3125,-1337.0,6290.854938271605,6290.89,6290.984693877552,6291.076446280992,6291.083648393195,6291.173106497501,6291.210788158023,6291.230198509938,-1264.4938271604938,-1260.0400000000002,-1247.9795918367347,-1236.2561983471076,-1235.3345935727789,-1223.8723567858517,-1219.036565042643,-1216.5439469320067
2025-07-14 13:33:00+00:00,6293.6875,6292.296875,6295.5,6292.296875,3098,72,-1023.25,-992.40625,-808.0,-1118.0,6291.175368655692,6291.171375000001,6291.172148323616,6291.187394346356,6291.189146359005,6291.21717585054,6291.232294828162,6291.240812206357,-1231.9396433470506,-1231.6320000000003,-1229.4110787172012,-1225.505634861007,-1225.1315854360155,-1219.720499656995,-1217.0358409823925,-1215.5634101466137
2025-07-14 13:34:00+00:00,6291.625,6292.9921875,6293.75,6289.25,3089,-931,-1505.0,-1007.828125,-1007.828125,-1998.0,6290.747508954428,6290.787100000001,6290.897555705957,6291.011267587596,6291.020524936483,6291.140031699539,6291.193041465228,6291.221003129677,-1402.1752781588173,-1384.9056000000003,-1339.2094960433153,-1295.732395328188,-1292.337534528536,-1250.2412643763284,-1232.5004777946224,-1223.3488488516225
2025-07-14 13:35:00+00:00,6290.0625,6292.30859375,6292.30859375,6287.5,4492,-290,-2225.75,-1256.4140625,-1256.4140625,-2717.0,6290.025840297888,6290.129680000002,6290.412190605106,6290.692061443269,6290.714392333311,6290.99728535838,6291.119911931263,6291.183978222914,-1694.35854967908,-1651.3244800000002,-1536.0367108942703,-1424.9385412074437,-1416.2212271782287,-1307.761214792943,-1261.896507937303,-1238.2110493605617
2025-07-14 13:36:00+00:00,6292.5,6291.185546875,6294.5,6290.5,3529,717,-1920.25,-1741.08203125,-1518.0,-2341.0,6290.13120912058,6290.203744000002,6290.424734804377,6290.674601312063,6290.695749521718,6290.977783971777,6291.107636447476,6291.177172469453,-1838.0566497503955,-1789.2595840000004,-1651.0314664808031,-1508.2168556431307,-1496.6367726409915,-1348.2803828402787,-1283.2648939187427,-1249.1840737450339
2025-07-14 13:37:00+00:00,6292.875,6291.8427734375,6294.0,6291.75,2515,-15,-1537.5,-1830.666015625,-1410.0,-1830.666015625,6290.4909404271175,6290.5129952000025,6290.614058403752,6290.772364829148,6290.787423476352,6291.008066953276,6291.120356517823,6291.182872245877,-1836.4142866114187,-1797.5408703250005,-1676.6935449299742,-1537.5304156414825,-1525.6827937700357,-1367.1974664788952,-1294.1045200911437,-1254.9699637139888
2025-07-14 13:38:00+00:00,6291.875,6292.35888671875,6292.75,6291.0,2113,-251,-1698.75,-1684.0830078125,-1561.0,-1845.0,6290.604064776647,6290.610396160002,6290.669192917502,6290.793058935588,6290.805908391452,6291.007750602168,6291.11797322044,6291.18105262154,-1838.3222229199923,-1807.0326962600004,-1700.7373242256922,-1565.4821960377112,-1553.44950735525,-1385.9348207346247,-1305.0133414754775,-1260.8409093486755
2025-07-14 13:39:00+00:00,6291.875,6292.116943359375,6293.0,6290.0,2216,-226,-1966.25,-1691.41650390625,-1691.41650390625,-2185.0,6290.469828159614,6290.488316928002,6290.573593929288,6290.720962668716,6290.735829400892,6290.9682309707105,6291.095835136867,6291.169300854162,-1915.3617289377719,-1882.6261570080005,-1769.9177064791647,-1621.8019963979193,-1608.366941498272,-1417.2707101175806,-1322.4388198621018,-1270.0365221909774
2025-07-14 13:40:00+00:00,6291.6875,6291.9959716796875,6293.75,6289.75,2136,-246,-2141.0,-1828.833251953125,-1828.833251953125,-2329.0,6290.309866346366,6290.340653542402,6290.455937653676,6290.632693335197,6290.650105105163,6290.920457207153,6291.069184936137,6291.155178457604,-2007.2813447293781,-1971.9009256064005,-1849.7866055535699,-1686.0927239981083,-1671.0306857158137,-1453.0247999168912,-1342.3707244192879,-1280.573472218928
2025-07-14 13:41:00+00:00,6289.875,6291.841735839844,6291.841735839844,6288.75,2441,-125,-2353.5,-1984.9166259765625,-1984.9166259765625,-2514.0,6289.963229380507,6290.022522833922,6290.21223227458,6290.461539395633,6290.48487857428,6290.835341238245,6291.023260481957,6291.131246333648,-2119.885490345072,-2080.3207404851205,-1944.6742333316315,-1761.357021816462,-1744.3323652187864,-1494.6316705083857,-1365.5713041337574,-1292.846372992869
2025-07-14 13:42:00+00:00,6286.6875,6290.858367919922,6290.858367919922,6283.5,5770,-1740,-3302.25,-2169.2083129882812,-2169.2083129882812,-4239.0,6288.526956184839,6288.718018267138,6289.25334194964,6289.828672177848,6289.87749782869,6290.547680797529,6290.874285026868,6291.055313534309,-2590.799825823945,-2512.0565923880968,-2272.4350571413984,-1986.59729256042,-1961.2599856345441,-1602.2539579394295,-1422.4708822697226,-1322.1613344556265
2025-07-14 13:43:00+00:00,6282.875,6288.772933959961,6288.772933959961,6280.25,8544,232,-4183.0,-2735.7291564941406,-2735.7291564941406,-4729.0,6286.6876325882085,6287.024414613711,6287.967150242549,6288.957883798043,6289.040324104457,6290.1438501780185,6290.663903145148,6290.9477979767535,-3065.9554200852904,-2955.4452739104777,-2623.372906121199,-2235.906629600382,-2201.9330303619754,-1724.8714497849421,-1487.9467063831933,-1356.060226650098
2025-07-14 13:44:00+00:00,6283.0,6285.8239669799805,6285.8239669799805,6281.5,4058,-62,-3861.5,-3459.3645782470703,-3459.3645782470703,-4006.0,6285.534825346384,6285.919531690969,6287.043271636471,6288.279894361857,6288.384643747548,6289.804875661233,6290.482439716531,6290.853790036686,-3274.8542156218923,-3165.5562191283825,-2820.891062389599,-2396.82420872762,-2358.8084190261516,-1814.3274713620033,-1537.8091478409517,-1382.4277865839279
2025-07-14 13:45:00+00:00,6283.3125,6284.41198348999,6286.0,6280.25,6108,-40,-4169.5,-3660.432289123535,-3660.432289123535,-4695.0,6284.360419713855,6284.785625352776,6286.072804259833,6287.549903965325,6287.6772834216745,6289.430174654911,6290.279817147887,6290.748279688063,-3590.4421677059163,-3471.444975302706,-3088.6209106196566,-2605.7492806614723,-2561.9555130238778,-1927.2950215046699,-1600.3277785767743,-1415.3887041303565
2025-07-14 13:46:00+00:00,6284.75,6283.862241744995,6285.75,6282.75,2921,-255,-4174.5,-3914.9661445617676,-3914.9661445617676,-4385.0,6284.002548666332,6284.3785002822215,6285.598117937,6287.113549059386,6287.248823993703,6289.168207021385,6290.13071185783,6290.668694815546,-3767.0105748823794,-3654.1559802421652,-3273.8179233882774,-2767.499346055884,-2720.481120587019,-2023.6756088966438,-1655.4698027633729,-1444.9370752335371
2025-07-14 13:47:00+00:00,6286.4375,6284.306120872498,6288.75,6283.75,4236,806,-3870.5,-4044.733072280884,-3339.0,-4393.0,6283.94642674048,6284.252800225778,6285.334101088857,6286.807771872169,6286.944578429034,6288.955728314664,6290.004361127972,6290.599852081063,-3906.1193360196285,-3801.924784193732,-3433.7010771899522,-2915.2721327780764,-2865.9175448838005,-2116.5902909006973,-1709.6783215205337,-1474.2710346839497
2025-07-14 13:48:00+00:00,6290.375,6285.371810436249,6292.75,6285.371810436249,4839,853,-3031.25,-3957.616536140442,-2527.0,-3957.616536140442,6284.263178672873,6284.476602267872,6285.339488138485,6286.677229923449,6286.807815994879,6288.815182515511,6289.912627450908,6290.547831766189,-3917.5631582686983,-3833.0631345830743,-3508.546142754308,-3010.0307149019277,-2960.8478919495956,-2188.7873985571578,-1754.191949532809,-1498.980940171079
2025-07-14 13:49:00+00:00,6293.4375,6287.873405218124,6294.75,6287.873405218124,4189,965,-2130.5,-3494.433268070221,-1626.0,-3494.433268070221,6285.0654512384845,6285.155962857923,6285.701476292719,6286.785973132056,6286.900475927336,6288.778250072476,6289.872246812635,6290.521220556756,-3823.534293780148,-3765.337161280504,-3506.5300177994386,-3054.0673106444997,-3007.246620307911,-2239.989197361592,-1788.6521736622628,-1518.8361872148516
2025-07-14 13:50:00+00:00,6294.75,6290.655452609062,6296.5,6290.655452609062,3961,557,-1311.5,-2812.4666340351105,-834.0,-2812.4666340351105,6286.307673765279,6286.255860808152,6286.409187195054,6287.137743993601,6287.226995638791,6288.851865858225,6289.887755838307,6290.522556199067,-3598.852591614584,-3574.7630558314254,-3407.378105833106,-3032.103612770919,-2990.309230197233,-2262.439292917416,-1808.9257273330122,-1531.708131959332
2025-07-14 13:51:00+00:00,6295.875,6292.702726304531,6297.25,6292.702726304531,3054,790,-717.0,-2061.9833170175552,-309.0,-2061.9833170175552,6287.72879655178,6287.545233907428,6287.308264210694,6287.643651476413,6287.703146131465,6289.002879993374,6289.943497827738,6290.544249433948,-3257.326086148578,-3272.2071080686515,-3215.1788502880277,-2943.910858611522,-2909.5852377468264,-2254.578274254676,-1813.936768712904,-1536.9845019599113
2025-07-14 13:52:00+00:00,6295.5,6294.288863152266,6297.25,6293.5,3564,-738,-693.75,-1389.4916585087776,-295.0,-1389.4916585087776,6289.01128620694,6288.736187125943,6288.192797894881,6288.176046796739,6288.207220380903,6289.179237640693,6290.013923613327,6290.573659887342,-2842.251768895289,-2895.664018156677,-2954.3663943195634,-2802.600022238545,-2777.4031873783006,-2220.6533089313075,-1805.5319150454955,-1535.5169114778105
